動画の長さ,投稿日,再生回数,高評価数,低評価数,コメント数,ハッシュタグ数,コラボ動画,性別,人数,芸能人,動画名,YouTuber,URL
724,44044,219569,3476,49,332,2,0,1,1,0,【毎日メイク】最新お気に入りコスメで夏メイクご紹介！,水越みさと,https://youtu.be/Sq978TnU13A
403,43953,1267639,35000,365,2040,3,0,0,5,0,【対決】Mrs.GREEN APPLEマッシュアップメドレー ?Mrs.GREEN APPLE Mash Up Medley Battle?,シズクノメ,https://youtu.be/4pkoGfS5HIs
687,43921,5325365,130000,2201,7975,2,1,0,1,1,「TAKERU NO PLAN DRIVE」#1,佐藤健,https://youtu.be/1hM8rarOz3g
716,42835,4260183,100000,3200,9790,0,0,0,1,0,クラス替え最悪、泣いた。, kemio,https://youtu.be/1UC-en6UjV4
166,43414,298366,6010,73,648,0,1,1,1,0,上海いってきた前編?超キレイ版?,古川優香,https://youtu.be/3s2jR1ZT4zE
1180,44013,381143,9514,95,1006,0,1,0,1,0,４ヶ月ぶりのせりしゅん【水トク】,じゅきぱっぱ,https://www.youtube.com/watch?v=FgM9gCOE2Gs&t=205s
605,43575,2900457,38000,670,2089,0,1,0,1,0,皆さんにお伝えしたい事があります。,せりしゅん,https://www.youtube.com/watch?v=oxdcJRIGYsU&t=236s
496,44151,443608,8961,130,606,2,0,1,1,0,【GU】売り切れ続出！どうしても欲しかった新作を紹介！,ねお,https://www.youtube.com/watch?v=b_MmXUIBbgE&t=104s
661,44129,656438,16000,275,588,0,0,1,1,0,Francfranc】女子憧れ家具を爆買いしたら総額〇〇万超えした,かす,https://www.youtube.com/watch?v=VvNy7sEWg9Q
1303,43903,1128177,27000,233,1582,3,0,0,2,0,アメリカのディズニーで1万円使いきらなくても帰ります！！,みきおだ,https://www.youtube.com/watch?v=mUyvVUjfQ2E
510,44083,1024686,23000,781,2460,0,0,1,1,0,ダイエット中だけどスタバで食べ放題＆飲み放題?♪,エミリン,https://www.youtube.com/watch?v=imNsrJwQuXc
241,43795,9518025,200000,1442,11631,0,1,0,2,0,テオくんの誕生日ラップのライブバージョンwwwwwwww,スカイピース,https://www.youtube.com/watch?v=A0OrOYhKx4U
510,44155,133449,2355,36,70,0,0,2,3,0,いつもの古川メイクを完成させろ！！,さんこいち,https://www.youtube.com/watch?v=HzpBNJo_B4k&list=LL&index=6
396,44151,29195,890,7,78,3,0,0,5,0,対決】あいみょん[Part2]マッシュアップメドレー -AIMYON [Part2] Mash Up Medley Battle-,シズクノメ,https://www.youtube.com/watch?v=RqlST__-3W4&list=LL&index=22
464,44142,748723,21000,293,1412,3,0,2,2,0,体重3桁のデブとTWICE「I CAN'T STOP ME」30分で覚えて踊ってみたww,パパラピーズ,https://www.youtube.com/watch?v=i5GELiftSuE&list=LL&index=32
534,44135,2880558,100000,5597,5421,3,0,0,1,1,【鬼滅の刃】炎／紅蓮華 仮装して歌ってみた！【Demon Slayer:Kimetsu no Yaiba】,手越祐也,https://www.youtube.com/watch?v=jqrm3jcfMuw&list=LL&index=52
749,44144,2224546,36000,1449,2006,1,1,0,1,0,手越くんに牛牛奢ろうとしたら見事に返り討ちされてスター魅せつけられた…,ヒカル,https://www.youtube.com/watch?v=vGZS11w7OLI
810,43881,1051914,21000,802,1382,0,0,2,2,0,"ツボが浅すぎる嫁を""笑わせなければ""賞金１００万！？逆イロモネアにしばゆー挑戦www",しばなん,https://www.youtube.com/watch?v=4FWRkHb4swM
528,43912,2514266,54000,676,3122,2,0,1,1,0,【鬱憤爆発】最近ぴえんな事ばっかりで嫌になっちゃう！！！,まあたそのほぼメインちゃんねる,https://www.youtube.com/watch?v=46kxuAAU6vc
673,44000,2839269,59000,2216,2231,0,1,1,1,0,古川優香の最新夏服を着たら地獄だった,エミリン,https://www.youtube.com/watch?v=NBPlzxIV2cY&t=398s
583,44152,919658,20000,714,1804,3,0,1,1,1,【踊ってみた】柏木由紀がAKB48の曲でランダムダンスに挑戦してみた！！,ゆきりんワールド,https://www.youtube.com/watch?v=ni2t_j6vGxw&t=512s
731,43702,1882423,29000,656,1434,1,0,1,1,1,【握手会の朝】初公開！アイドルの握手会の準備は全部セルフなんです！【The Morning of a Meet and Greet】,吉田朱里,https://www.youtube.com/watch?v=uYwyn8J2-IQ&t=103s
884,44059,1646018,29000,356,831,3,1,1,1,0,【整形級】進化したまあたそに毎日メイクやってもらったら顔おかしくなったwww【まあたそ】【ふくれな】,ふくれな,https://www.youtube.com/watch?v=Y1hwgQiVh1E
354,43373,5614727,64000,6789,18764,0,1,0,2,0,【TikTok】日本一のHinataちゃんとTikTokを撮ってTikTok内でバズらせる。【hinataちゃん】,スカイピース,https://www.youtube.com/watch?v=-3Kh6ZnQjMM
483,42869,3091886,200000,9150,19276,0,0,0,7,0,【大流行】イヤホンガンガン伝言ゲームを全員でやったら大爆笑www,フィッシャーず,https://www.youtube.com/watch?v=911roRxqA5c
543,42818,4172483,59000,1536,4530,0,0,0,1,0,韓国の激辛ヌードルをお口に添えた件,けみお,https://www.youtube.com/watch?v=9t-xSepblyE
1641,43480,21941271,130000,3857,13505,0,0,0,6,0,【じゃんけんが全て】第１回 サバイバルしりとり晩御飯！,東海オンエア,https://www.youtube.com/watch?v=iX35yxAxMp0
183,42196,123335360,360000,91000,33258,0,0,0,1,0,世界最大級のグミを1人で食う！（多分）,はじめしゃちょー,https://www.youtube.com/watch?v=uJwa7y6Q6Sw
248,44037,19431641,720000,15000,38499,0,0,1,1,1,Lady Gaga “Rain On Me with Ariana Grande” Official Parody,渡辺直美,https://www.youtube.com/watch?v=psSdawz69kc
957,44112,492470,7356,116,706,3,0,0,2,1,【劇場ルーティン】年間700ステージ！かまいたちの劇場の過ごし方,かまいたち,https://www.youtube.com/watch?v=Yi0vUd_u79U
