Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
43754,179,292000,1393648,22000,12202,5000,164.5,27270489,403,43953,1267639,35000,365,2040,3,0,0,0,0,0,5,0,シズクノメ,【対決】Mrs.GREEN APPLEマッシュアップメドレー ?Mrs.GREEN APPLE Mash Up Medley Battle?,https://youtu.be/4pkoGfS5HIs
43900,31,1960000,14227782,5000,10000,5000,44.9,63611988,687,43921,5325365,130000,2201,7975,2,1,0,0,1,0,1,1,佐藤健,「TAKERU NO PLAN DRIVE」#1,https://youtu.be/1hM8rarOz3g
43371,105,819000,5726297,987000,955248,660000,49.07,108010130,166,43414,298366,6010,73,648,0,1,0,0,1,1,1,0,古川優香,上海いってきた前編?超キレイ版?,https://youtu.be/3s2jR1ZT4zE
43262,145,231000,2885510,163000,83549,544900,59.8,26096475,605,43575,2900457,38000,670,2089,0,1,1,0,1,0,1,0,せりしゅん,皆さんにお伝えしたい事があります。,https://www.youtube.com/watch?v=oxdcJRIGYsU&t=236s
42611,719,1000000,2853141,716000,540203,2200000,170.3,289419747,496,44151,443608,8961,130,606,2,0,0,0,0,1,1,0,ねお,【GU】売り切れ続出！どうしても欲しかった新作を紹介！,https://www.youtube.com/watch?v=b_MmXUIBbgE&t=104s
42609,255,1060000,12592528,499000,435792,338300,60.3,228926384,661,44129,656438,16000,275,588,0,0,1,0,0,1,1,0,かす,Francfranc】女子憧れ家具を爆買いしたら総額〇〇万超えした,https://www.youtube.com/watch?v=VvNy7sEWg9Q
42314,169,824000,3850108,5000,105656,5000,34.4,137487281,1303,43903,1128177,27000,233,1582,3,0,1,0,1,0,2,0,みきおだ,アメリカのディズニーで1万円使いきらなくても帰ります！！,https://www.youtube.com/watch?v=mUyvVUjfQ2E
43059,563,1520000,5356970,334000,375465,271000,195.9,598346601,510,44083,1024686,23000,781,2460,0,0,1,0,0,1,1,0,エミリン,ダイエット中だけどスタバで食べ放題＆飲み放題?♪,https://www.youtube.com/watch?v=imNsrJwQuXc
42564,1469,3110000,19946093,5000,769880,346600,337.4,2150531485,241,43795,9518025,200000,1442,11631,0,1,1,1,0,0,2,0,スカイピース,テオくんの誕生日ラップのライブバージョンwwwwwwww,https://www.youtube.com/watch?v=A0OrOYhKx4U
