Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,,
チャンネル開設日,動画の本数,投稿頻度(年),チャンネル登録者数,最高再生回数,総視聴回数,Instagram,Twitter,TikTok,サブチャン,メンバーシップ,事務所,性別,人数,芸能人,,
42314,169,34.4,824000,3850108,137487281,5000,105656,5000,1,0,1,0,2,0,,
42796,752,209.5,1480000,5450943,616102657,153000,413318,232300,1,0,0,2,3,0,,
42786,464,128,1380000,4189519,389017994,5000,86865,214000,0,0,1,2,2,0,,
43059,563,195.9,1520000,5356970,598346601,334000,375465,271000,1,0,0,1,1,0,,
41450,93,12.7,1870000,14400303,317159642,718000,547142,1200000,1,0,0,1,1,0,,
42792,359,96.7,1620000,5513013,406127414,396000,343441,416100,1,1,1,0,1,0,,
43262,145,59.8,231000,2885510,26096475,163000,83549,544900,1,0,1,0,1,0,,
43371,105,49.07,819000,5726297,108010130,987000,955248,660000,0,0,1,1,1,0,,
42024,140,24.02,417000,2101840,55438627,282000,482445,103600,0,0,0,0,1,0,,
43016,99,31.8,156000,1372932,19425699,162000,123200,415119,0,0,0,0,1,0,,
42257,235,45.2,1390000,10740708,368923213,774000,578189,631800,0,0,1,1,1,0,,
42447,1558,333.5,4210000,44820817,3117435955,385000,1208010,300500,1,0,0,0,1,0,,
40743,2799,299.6,8750000,107961687,7728896031,900000,3595126,1200000,1,0,1,0,1,0,,
40937,1745,198.1,3900000,54588961,3432888530,274000,1132342,174900,1,0,1,0,1,0,,
42982,245,76.4,852000,6460675,256376897,96000,69983,87200,0,0,1,1,3,0,,
43999,56,151.4,1600000,10959002,88585075,624000,1241469,5000,0,0,0,0,1,1,,
43900,31,44.9,1960000,14227782,63611988,5000,10000,5000,0,0,1,0,1,1,,
43754,179,164.5,292000,1393648,27270489,22000,12202,5000,0,0,0,0,5,0,,
42609,255,60.3,1060000,12592528,228926384,499000,435792,338300,1,0,0,1,1,0,,
42611,719,170.3,1000000,2853141,289419747,716000,540203,2200000,0,0,0,1,1,0,,
41780,2031,311.3,5510000,18949289,2066025430,266000,255916,367000,1,0,1,1,1,0,,
43907,65,96.8,840000,3225287,63984058,2710000,627056,5000,0,0,1,1,1,1,,
43346,14,6.3,2170000,9034888,60961638,3010000,10000,5000,0,0,1,1,1,1,,
44048,18,63.1,1180000,5163360,32791728,575000,124498,5000,0,0,1,1,1,1,,
