Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
42314,169,824000,3850108,5000,105656,5000,34.4,137487281,1303,43903,1128177,27000,233,1582,3,0,1,0,1,0,2,0,みきおだ,アメリカのディズニーで1万円使いきらなくても帰ります！！,https://www.youtube.com/watch?v=mUyvVUjfQ2E
42796,752,1480000,5450943,153000,413318,232300,209.5,616102657,510,44155,133449,2355,36,70,0,0,1,0,0,2,3,0,さんこいち,いつもの古川メイクを完成させろ！！,https://www.youtube.com/watch?v=HzpBNJo_B4k&list=LL&index=6
42786,464,1380000,4189519,5000,86865,214000,128,389017994,464,44142,748723,21000,293,1412,3,0,0,0,1,2,2,0,パパラピーズ,体重3桁のデブとTWICE「I CAN'T STOP ME」30分で覚えて踊ってみたww,https://www.youtube.com/watch?v=i5GELiftSuE&list=LL&index=32
43059,563,1520000,5356970,334000,375465,271000,195.9,598346601,510,44083,1024686,23000,781,2460,0,0,1,0,0,1,1,0,エミリン,ダイエット中だけどスタバで食べ放題＆飲み放題?♪,https://www.youtube.com/watch?v=imNsrJwQuXc
41450,93,1870000,14400303,718000,547142,1200000,12.7,317159642,363,42906,14491714,120000,6444,8760,0,0,1,0,0,1,1,0,まあたそ,【激変】あのスッピンブスがとうとうメイク動画投稿するってよ！！【一重から二重】,https://www.youtube.com/watch?v=X-GgGlDL7gg&t=171s
43262,145,231000,2885510,163000,83549,544900,59.8,26096475,605,43575,2900457,38000,670,2089,0,1,1,0,1,0,1,0,せりしゅん,皆さんにお伝えしたい事があります。,https://www.youtube.com/watch?v=oxdcJRIGYsU&t=236s
43371,105,819000,5726297,987000,955248,660000,49.07,108010130,166,43414,298366,6010,73,648,0,1,0,0,1,1,1,0,古川優香,上海いってきた前編?超キレイ版?,https://youtu.be/3s2jR1ZT4zE
42024,140,417000,2101840,282000,482445,103600,24.02,55438627,210,43694,2057009,33000,310,2374,1,1,0,0,0,0,1,0,やっぴ,【Hand clap】2週間で10キロ痩せるダンス/HandClap by Fitz and the Tantrums,https://www.youtube.com/watch?v=n2SmJtXPLtQ&t=83s
43016,99,156000,1372932,162000,123200,415119,31.8,19425699,620,43432,581556,10000,122,783,0,1,0,0,0,0,1,0,ほりえりく,ひとほわでユニバ行ったら楽しすぎたwwwwww,https://www.youtube.com/watch?v=Sc-0bo1Pn0M
